username,created_at,lng,lat,text,,,,
BLKMDL3, Wed Jan 27 00:31:06 +0000 2021,-118.411907,34.020789, Thank you @Tesla for the likes! https://t.co/jdMRMwUJCL ,,,,
Kolby2xtimess, Wed Jan 27 00:39:34 +0000 2021,-97.135638,32.70185, Protect master P at all cost ,,,,
AshChaach, Wed Jan 27 00:39:47 +0000 2021,90.328709,24.09838, Hmmm 🤔 Wonder which administration let Elon operate with Gay Abandon in Chyna? https://t.co/iHteZTiJZw ,,,,
KennyG_dakewl1, Wed Jan 27 00:40:52 +0000 2021,-80.676074,34.995621, @elonmusk How about drones?  You love $UAVS?  Or shrimp? Natural shrimp? $SHMP?Lol either way you rock Elon.  Modern day Tesla.  🙌🙏❤️ ,,,,
prabal159, Wed Jan 27 00:41:14 +0000 2021,-0.173115,51.524835, @miliaxy The wealthy get bailouts, but what happens to the masses - who bails them out? This is brilliantly 'Tesla'… https://t.co/Qoa2UOV6Kq ,,,
GibsonBuck1, Wed Jan 27 00:42:18 +0000 2021,-73.709589,45.605568, La Tesla S aura à sa disposition dès l'automne 1100hp!! ☠⚡🚀https://t.co/p5Q08fhEMI ,,,,
VstockVictoria, Wed Jan 27 00:43:25 +0000 2021,-74.441418,40.856547, @elonmusk @boringcompany Now can I have a Tesla delivered to my home? ,,,,
Pako1907, Wed Jan 27 00:43:30 +0000 2021,16.21667,47.808252, Tesla amerikada super araba avrupada bi sike yaramaz bir ay daha bende yakarim bu arabayi hayatta almam amk ,,,,
SchrottyGrega, Wed Jan 27 00:43:59 +0000 2021,14.992997,46.149079, @CharlieDenny84 @WSBChairman Tesla is a shitco no matter the share price tho lol. ,,,,
KennyG_dakewl1, Wed Jan 27 00:46:32 +0000 2021,-80.676074,34.995621, @elonmusk Ur the Modern day Tesla, with the Midas touch!Please bless Natural Shrimp $SHMP and look into it, it’s… https://t.co/pIARYwIUKe ,,
